date,value
2024-05-24 15:01:00,49
2024-05-24 15:02:00,56
2024-05-24 15:03:00,61
2024-05-24 15:04:00,59
2024-05-24 15:05:00,59
2024-05-24 15:06:00,62
2024-05-24 15:07:00,60
2024-05-24 15:10:00,56
2024-05-24 15:12:00,54
2024-05-24 15:13:00,62
2024-05-24 15:14:00,61
2024-05-24 15:15:00,62
2024-05-24 15:16:00,64
2024-05-24 15:17:00,65
2024-05-24 15:18:00,64
2024-05-24 15:19:00,63
2024-05-24 15:20:00,64
2024-05-24 15:21:00,65
2024-05-24 15:22:00,65
2024-05-24 15:23:00,63
2024-05-24 15:24:00,68
2024-05-24 15:25:00,64
2024-05-24 15:26:00,65
2024-05-24 15:27:00,65
2024-05-24 15:28:00,65
2024-05-24 15:29:00,67
2024-05-24 15:30:00,67
2024-05-24 15:31:00,65
2024-05-24 15:32:00,66
2024-05-24 15:33:00,64
2024-05-24 15:34:00,67
2024-05-24 15:35:00,67
2024-05-24 15:36:00,66
2024-05-24 15:37:00,65
2024-05-24 15:38:00,66
2024-05-24 15:39:00,65
2024-05-24 15:40:00,65
2024-05-24 15:41:00,64
2024-05-24 15:42:00,63
2024-05-24 15:43:00,60
2024-05-24 15:44:00,59
2024-05-24 15:45:00,58
2024-05-24 15:46:00,60
2024-05-24 15:47:00,59
2024-05-24 15:48:00,65
2024-05-24 15:49:00,58
2024-05-24 15:50:00,58
2024-05-24 15:51:00,58
2024-05-24 15:52:00,58
2024-05-24 15:53:00,53
2024-05-24 15:54:00,53
2024-05-24 15:55:00,53
2024-05-24 15:56:00,53
2024-05-24 15:57:00,55
2024-05-24 15:58:00,56
2024-05-24 15:59:00,56
2024-05-24 16:00:00,56
2024-05-24 16:01:00,55
2024-05-24 16:02:00,50
2024-05-24 16:03:00,52
2024-05-24 16:04:00,53
2024-05-24 16:05:00,56
2024-05-24 16:06:00,56
2024-05-24 16:07:00,56
2024-05-24 16:08:00,55
2024-05-24 16:09:00,58
2024-05-24 16:10:00,59
2024-05-24 16:11:00,60
2024-05-24 16:12:00,59
2024-05-24 16:13:00,59
2024-05-24 16:14:00,60
2024-05-24 16:15:00,60
2024-05-24 16:16:00,59
2024-05-24 16:17:00,59
2024-05-24 16:18:00,57
2024-05-24 16:19:00,55
2024-05-24 16:20:00,57
2024-05-24 16:21:00,56
2024-05-24 16:22:00,60
2024-05-24 16:23:00,57
2024-05-24 16:24:00,57
2024-05-24 16:25:00,58
2024-05-24 16:26:00,60
2024-05-24 16:27:00,62
2024-05-24 16:28:00,61
2024-05-24 16:29:00,61
2024-05-24 16:30:00,60
2024-05-24 16:31:00,60
2024-05-24 16:32:00,59
2024-05-24 16:33:00,62
2024-05-24 16:34:00,58
2024-05-24 16:35:00,63
2024-05-24 16:36:00,62
2024-05-24 16:37:00,63
2024-05-24 16:38:00,65
2024-05-24 16:39:00,64
2024-05-24 16:40:00,68
2024-05-24 16:41:00,67
2024-05-24 16:42:00,66
2024-05-24 16:43:00,66
2024-05-24 16:44:00,64
2024-05-24 16:45:00,65
2024-05-24 16:46:00,67
2024-05-24 16:47:00,67
2024-05-24 16:48:00,69
2024-05-24 16:49:00,67
2024-05-24 16:50:00,68
2024-05-24 16:51:00,67
2024-05-24 16:52:00,67
2024-05-24 16:53:00,69
2024-05-24 16:54:00,67
2024-05-24 16:55:00,67
2024-05-24 16:56:00,68
2024-05-24 16:57:00,63
2024-05-24 16:58:00,66
2024-05-24 16:59:00,68
2024-05-24 17:00:00,67
2024-05-24 17:01:00,65
2024-05-24 17:02:00,66
2024-05-24 17:03:00,67
2024-05-24 17:04:00,66
2024-05-24 17:05:00,65
2024-05-24 17:06:00,69
2024-05-24 17:07:00,68
2024-05-24 17:08:00,73
2024-05-24 17:09:00,72
2024-05-24 17:10:00,68
2024-05-24 17:11:00,72
2024-05-24 17:12:00,73
2024-05-24 17:13:00,74
2024-05-24 17:14:00,73
2024-05-24 17:15:00,74
2024-05-24 17:16:00,73
2024-05-24 17:17:00,73
2024-05-24 17:18:00,70
2024-05-24 17:19:00,75
2024-05-24 17:20:00,74
2024-05-24 17:21:00,76
2024-05-24 17:22:00,75
2024-05-24 17:23:00,74
2024-05-24 17:24:00,77
2024-05-24 17:25:00,77
2024-05-24 17:26:00,80
2024-05-24 17:27:00,80
2024-05-24 17:28:00,81
2024-05-24 17:29:00,77
2024-05-24 17:30:00,78
2024-05-24 17:31:00,78
2024-05-24 17:32:00,81
2024-05-24 17:33:00,79
2024-05-24 17:34:00,77
2024-05-24 17:35:00,83
2024-05-24 17:36:00,80
2024-05-24 17:37:00,81
2024-05-24 17:38:00,79
2024-05-24 17:39:00,77
2024-05-24 17:40:00,77
2024-05-24 17:41:00,80
2024-05-24 17:42:00,78
2024-05-24 17:43:00,78
2024-05-24 17:44:00,82
2024-05-24 17:45:00,80
2024-05-24 17:46:00,76
2024-05-24 17:47:00,75
2024-05-24 17:48:00,79
2024-05-24 17:49:00,80
2024-05-24 17:50:00,79
2024-05-24 17:51:00,77
2024-05-24 17:52:00,73
2024-05-24 17:53:00,74
2024-05-24 17:54:00,78
2024-05-24 17:55:00,77
2024-05-24 17:56:00,72
2024-05-24 17:57:00,76
2024-05-24 17:58:00,76
2024-05-24 17:59:00,79
2024-05-24 18:00:00,78
2024-05-24 18:01:00,78
2024-05-24 18:02:00,79
2024-05-24 18:03:00,77
